dinner_price,lunch_price,name,price_lists,profile_url,rating,tables_max,tables_min,tables_range
$1065–$1664Mon - Sun,$1065–$1664Mon - Sun,Spring Court,,,,18,12,12 - 18Mon - Sun
$1045-$1045Mon - Thu$1563-$1563Friday$1681-$1681Saturday$1563-$1563Sunday,$1281-$1281Mon - Sun,Swissôtel Merchant Court Singapore,,,,50,30,30 - 50Mon - Thu35 - 50Fri - Sun
$808-$808Mon - Thu$938-$1058Fri - Sun,$808-$808Mon - Thu$808-$1058Fri - Sun,THE CHEVRONS,,,,70,15,15 - 70Mon - Sun
$1604++Mon - Sun,$1484++Mon - Sun,The Chevrons @ Jurong East,,,,40,12,12 - 40Mon - Sun
$3933++Mon - Sun,$3933++Mon - Sun,The Clifford Pier @ The Fullerton Bay Hotel,,,,28,15,15 - 28Mon - Sun
$2854++Mon - Thu$2974++Friday$3093++Saturday$2974Sunday,$2854++Mon - Sun,The Fullerton Hotel Singapore,,,,48,10,10 - 48Mon - Sun
$2180++Mon - Fri$2599++Sat - Sun,$2180++Mon - Fri$2599++Sat - Sun,The Outpost Hotel Sentosa,,,,16,12,12 - 16Mon - Sun
$2854–$3573Mon - Sun,$2494–$2734Mon - Sun,"The Ritz Carlton, Millenia Singapore",,,,90,10,10 - 90Mon - Sun
$3453++Mon - Sun,$3093++Mon - Sun,The Singapore EDITION,,,,34,3,3 - 34Mon - Sun
$1131–$1177Mon - Sun,$1131–$1177Mon - Sun,The Singapore Island Country Club,,,,45,3,3 - 45Mon - Sun
$2623–$3463Mon - Fri$2863–$3463Saturday,$$2623–$2863Sat - Sun,The St. Regis Singapore,,,,42,12,12 - 42Mon - Sun
$628Mon - Sun,$628Mon - Sun,Tim Palace,,,,80,15,15 - 80Mon - Sun
$1153-$1389Mon - Sun,$1153-$1389Mon - Sun,Tung Lok Heen,,,,14,8,8 - 14Mon - Sun
$629-$950Mon - Sun,$629-$950Mon - Sun,Tung Lok Seafood (Orchard Central),,,,18,15,15 - 18Mon - Sun
$629-$843Mon - Sun,$629-$843Mon - Sun,Tung Lok Seafood (Upper Jurong),,,,40,15,15 - 40Mon - Sun
$950-$1089Mon - Fri$950-$1175Sat - Sun,$950-$1089Mon - Fri$950-$1175Sat - Sun,Tung Lok Signatures (Orchard Parade),,,,30,20,20 - 30Mon - Fri25 - 30Sat - Sun
$927-$1045Mon - Sun,$927-$1045Mon - Sun,Tung Lok Signatures (The Central),,,,20,17,17 - 20Mon - Sun
"$688, 888Mon - Sun",$498Mon - Sun,Tung Lok Signatures (Vivo),,,,13,2,2 - 13Mon - Sun
$1055–$2014Mon - Fri$1175–$2134Sat - Sun,$1055–$2014Mon - Sun,TungLok Seafood (Park Regis Singapore),,,,16,14,14 - 16Mon - Sun
$859–$1295Mon - Sun,$859–$1295Mon - Sun,TungLok Seafood (PLQ Mall),,,,18,15,15 - 18Mon - Sun
$825–$1664Mon - Sun,$825–$1664Mon - Sun,TungLok Seafood (Upper Jurong),,,,29,24,24 - 29Mon - Sun
$1077–$1317Mon - Sun,$1077–$1317Mon - Sun,TungLok Signatures (The Central),,,,19,16,16 - 19Mon - Thu16 - 20Friday16 - 19Sat - Sun
$1415–$1622Mon - Fri$1469–$1676Sat - Sun,$1415–$1622Mon - Sun,"TungLok Signatures, Antica Ballroom @ Orchard Rendezvous Hotel*",,,,25,15,15 - 25Mon - Fri18 - 25Sat - Sun
$1398-$1634Mon - Sun,$1398-$1634Mon - Sun,YÀN 宴,,,,15,8,8 - 15Mon - Sun
